Selection,View,Channel,Begin Time (s),begin time (hh:mm:ss),Real time,End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Peak Freq (Hz),Delta Freq (Hz),Dur 90% (s),SNR NIST Quick (dB FS),Delta Time (s),Peak Power Density (dB FS),Call Type,Overlap
637,Spectrogram 1,1,12803.02282,3:33:23,15:53:32,12804.53922,423.423,1798.611,Port Renfrew 3-20200907-152758-055-00006.wav,609.375,1375.188,1.375,14.27,1.5164,-39.78,bellow,
625,Spectrogram 1,1,12327.4327,3:25:27,15:45:36,12327.56931,125,722.222,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,597.222,0.0625,24.99,0.1366,-23.69,bop,yes
634,Spectrogram 1,1,12594.46,3:29:54,15:50:03,12594.56929,55.556,527.778,Port Renfrew 3-20200907-152758-055-00006.wav,234.375,472.222,0.0208,26.26,0.1093,-25.47,bop,
284,Spectrogram 1,1,12593.04606,3:29:53,15:50:02,12593.18268,72.314,900.709,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,828.395,0.0417,27.28,0.1366,-26.12,bop,
586,Spectrogram 1,1,12551.24313,3:29:11,15:49:20,12551.36608,109.339,478.36,Port Renfrew 3-20200907-152758-055-00006.wav,187.5,369.021,0.0417,22.23,0.123,-27.32,bop,yes
628,Spectrogram 1,1,12503.69027,3:28:24,15:48:33,12503.80329,97.222,548.611,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,451.389,0.0625,20.36,0.113,-27.37,bop,
636,Spectrogram 1,1,12595.10739,3:29:55,15:50:04,12595.22503,138.889,743.056,Port Renfrew 3-20200907-152758-055-00006.wav,234.375,604.167,0.0208,25.14,0.1176,-28.19,bop,
249,Spectrogram 1,1,12099.29188,3:21:39,15:41:48,12099.44215,117.521,443.376,Port Renfrew 3-20200907-152758-055-00006.wav,187.5,325.855,0.0417,18.59,0.1503,-29.09,bop,yes
292,Spectrogram 1,1,12618.37341,3:30:18,15:50:27,12618.51003,108.471,769.628,Port Renfrew 3-20200907-152758-055-00006.wav,445.312,661.157,0.0833,29.07,0.1366,-29.43,bop,
273,Spectrogram 1,1,12501.15302,3:28:21,15:48:30,12501.27597,111.111,550.214,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,439.103,0.0625,19.45,0.123,-29.49,bop,
